ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
382,Mečje leske na tru Svetog Save - Užice,Natural Monument,Užice,0,3,65,Javno komunalno preduzeće Bioktoš
383,Hrast Zeke Buljubaše,Natural Monument,Sremska Mitrovica,0,3,14,Goransko - ekološki pokret
384,Stablo oskoruše u Grkinji,Natural Monument,Gadžin Han,0,3,64,JP Direkcija za izgradnju i komunalne delatnosti opštine Gadžin Han
385,Miljakovačka šuma,Natural Monument,Beograd-Rakovica,84,71,92,"JP Srbijašume, Šumsko gazdinstvo Beograd"
386,Bigrena akumulacija kod manastira Tumane,Natural Monument,Golubac,5,85,0,"Javno preduzeće ""Direkcija za izgradnju opštine Golubac"", Golubac"
387,Hrast Rasina,Natural Monument,Kruševac,0,5,31,Javno komunalno preduzeće Kruševac
388,Stablo bukve Prozorac,Natural Monument,Vrnjačka Banja,0,12,56,JP Beli izvor
389,Kamenički park,Natural Monument,Novi Sad,33,65,15,JKP Gradsko Zelenilo Novi Sad
390,Ripaljka,Natural Monument,Sokobanja,6,82,0,Direkcija za urbanizam i izgradnju Sokobanja
391,Prebreza,Natural Monument,Blace,0,86,0,Fond za ekologiju opštine Prokuplje
392,Rogot,Natural Monument,Batočina,290,95,0,"JP Srbijašume, Novi Beograd"
393,Ostrovica,Natural Monument,Gornji Milanovac,13,73,36,"JP Srbijašume, Novi Beograd"
394,Ivanovačka ada,Natural Monument,Pančevo,6,7,0,"JP Vojvodinašume, Petrovaradin"
395,Stablo hrasta lužnjaka u mestu Bela Voda,Natural Monument,Kruševac,0,0,0,Turističko društvo Kiseljak i Mesna zajednica Bele Vode
396,Stablo hrasta u ataru sela Šetka,Natural Monument,Ražanj,0,2,44,"Odsek za inspekcijske poslove, Opštinske uprave Opštine Ražanj"
397,Županijski park u Zrenjaninu,Natural Monument,Zrenjanin,1,13,0,JKP Čistoća i zelenilo
398,Hrast lužnjak u Zrenjaninu,Natural Monument,Zrenjanin,0,2,1,JKP Čistoća i zelenilo
399,Beli dud u Belom Blatu,Natural Monument,Zrenjanin,0,0,78,JKP Čistoća i zelenilo
